"case_id";"case_id_length";"duration_dd"
"7029384F2B";"13";"263.04"
"8136316C5B";"6";"263.96"
"7579324008";"8";"264.04"
"9171906046";"5";"265.04"
"917194721B";"5";"265.04"
"7579294744";"8";"265.04"
"78221545AE";"8";"266.0"
"66894271CB";"5";"266.04"
"8326224966";"5";"266.04"
"7102886EF0";"6";"266.04"
"8313008F34";"7";"266.04"
"74442640FE";"12";"266.04"
"86041988CD";"5";"266.96"
"8410352A05";"5";"267.0"
"8898558A5B";"5";"267.0"
"7542412348";"6";"267.04"
"90839107AB";"5";"268.0"
"7042577663";"5";"268.04"
"763262730E";"8";"269.04"
"76195088E8";"5";"270.0"
"84225636DC";"5";"270.0"
"90300221E4";"6";"270.96"
"7004914DE3";"5";"272.0"
"71619915F0";"5";"272.0"
"703624905D";"5";"272.04"
"74048882E3";"8";"272.04"
"6743453973";"6";"273.0"
"71982095FA";"6";"273.0"
"7724562E34";"6";"273.96"
"81580961CB";"6";"273.96"
"8423849C18";"5";"274.0"
"66061141BB";"5";"274.04"
"6934006AC2";"7";"274.96"
"824224970A";"5";"275.0"
"82621963D4";"5";"275.04"
"82624136E6";"6";"275.04"
"826241695F";"6";"275.04"
"9125270B04";"6";"275.04"
"826239580B";"7";"275.04"
"6956016DFB";"5";"276.0"
"9011340902";"5";"276.96"
"76303002C1";"5";"277.0"
"9106837F9E";"5";"278.0"
"7246319B99";"8";"278.0"
"894939498D";"5";"278.96"
"6761120CB7";"5";"279.0"
"82715402BE";"5";"279.0"
"782507502C";"7";"279.0"
"6499619745";"5";"279.96"
"6883337562";"5";"279.96"
"7307413BF6";"5";"279.96"
"6839166253";"5";"280.0"
"8053858DDC";"7";"280.0"
"8253946BB4";"7";"280.0"
"8560832E0A";"5";"280.96"
"6617238D88";"5";"281.0"
"84170419F5";"5";"281.0"
"78439486A8";"6";"281.0"
"7329887E17";"5";"281.96"
"67414959A8";"5";"282.0"
"712106156F";"5";"282.0"
"716515374D";"7";"282.0"
"6722457B00";"5";"282.04"
"7858246DBB";"5";"282.04"
"8326581004";"5";"282.04"
"8897078507";"6";"283.0"
"87182954A1";"7";"283.0"
"8218467D81";"5";"284.0"
"88401881EB";"5";"284.0"
"670957439F";"6";"284.04"
"68742602CF";"5";"284.96"
"8050775DB0";"5";"284.96"
"77995475CB";"7";"285.0"
"78155002A1";"7";"285.0"
"8926800466";"9";"285.0"
"784168070B";"9";"286.0"
"8147531347";"5";"286.96"
"7288445714";"5";"287.96"
"7381085806";"5";"288.0"
"7051346ACA";"5";"288.04"
"86932210EA";"5";"288.04"
"7019400021";"5";"289.0"
"738046478F";"5";"289.0"
"8428274FB7";"5";"289.0"
"6618858668";"6";"289.0"
"693363589A";"9";"289.0"
"76050952EE";"5";"290.0"
"7822112306";"5";"290.0"
"7910017087";"7";"290.04"
"77702358C3";"5";"290.96"
"6641705C57";"5";"291.04"
"8439103819";"5";"292.0"
"84391796D1";"5";"292.0"
"8439264CF4";"5";"292.0"
"7834062878";"6";"292.0"
"829937199A";"5";"292.04"
"8299375CE6";"5";"292.04"
"8299379037";"5";"292.04"
"8570275EA6";"5";"292.96"
"8408372813";"5";"293.0"
"89320722FE";"5";"293.0"
"8097780374";"8";"293.96"
"741600159F";"5";"294.0"
"76150298B8";"6";"294.0"
"7615381B32";"6";"294.0"
"78057547F8";"7";"294.0"
"8039179C5E";"5";"295.0"
"8263426AD9";"5";"296.04"
"6770671675";"5";"297.0"
"713402607F";"5";"297.0"
"73781924A6";"6";"297.0"
"67514722F2";"5";"298.0"
"755625962F";"6";"298.0"
"6668962988";"6";"298.04"
"78304324E7";"5";"299.0"
"7825314565";"6";"299.0"
"7856793EAD";"5";"299.04"
"82513025D0";"6";"300.04"
"69282550E5";"5";"301.0"
"7407476A90";"5";"301.0"
"7817435F6D";"5";"301.0"
"86984403C4";"5";"301.0"
"9028546FD7";"5";"301.96"
"9129173FDE";"5";"302.0"
"889952043B";"6";"302.0"
"7981224A64";"5";"302.04"
"7525108B8F";"5";"303.0"
"911523845B";"5";"303.0"
"702227871F";"6";"303.0"
"76079853D5";"5";"304.0"
"7589579EB5";"8";"304.0"
"6992382829";"7";"305.0"
"89169460A0";"5";"306.0"
"8263891A94";"6";"306.04"
"746001571F";"7";"307.04"
"8488971879";"5";"307.96"
"84631479D5";"6";"307.96"
"9025322B51";"6";"307.96"
"813895809E";"5";"308.0"
"8224372679";"5";"308.0"
"7627768946";"6";"308.0"
"74940838EC";"6";"309.0"
"6787128335";"7";"310.0"
"82804370C8";"5";"311.0"
"8753109E0A";"5";"311.0"
"887567136A";"5";"311.0"
"7983149EF2";"5";"312.0"
"6989093DFC";"5";"313.0"
"8659015D37";"6";"313.0"
"83013960B2";"9";"313.0"
"875301614F";"5";"314.0"
"8851349C41";"5";"314.0"
"7783150A8E";"10";"314.0"
"7429061F10";"11";"314.0"
"862232038E";"5";"315.0"
"827117123C";"17";"315.0"
"7052628CBA";"5";"315.04"
"727327720E";"5";"315.96"
"83398630AB";"5";"316.0"
"9078667104";"5";"316.0"
"8301505AA2";"5";"316.04"
"8109928C4A";"5";"317.0"
"7175261CAE";"5";"318.0"
"6594202BA0";"5";"319.0"
"7840350D7C";"6";"319.0"
"7081013CC5";"7";"319.0"
"7171264A41";"8";"319.0"
"8405596540";"5";"320.0"
"84675066FF";"6";"320.96"
"8756620F68";"5";"321.0"
"86705468E7";"8";"321.0"
"76685439DE";"5";"321.96"
"8990077E38";"5";"321.96"
"6767225AB9";"5";"322.0"
"74737258F8";"5";"322.0"
"7152003395";"5";"323.0"
"8404403CBF";"5";"323.0"
"8404420AC7";"5";"323.0"
"8404435729";"5";"323.0"
"8404440B48";"5";"323.0"
"8404463E42";"5";"323.0"
"84044725B2";"5";"323.0"
"92357795EF";"5";"323.0"
"897805093B";"5";"323.96"
"9050472DC0";"5";"324.0"
"90992380BE";"5";"324.0"
"71489067DA";"6";"324.0"
"6587284EB5";"5";"325.0"
"6957958096";"5";"325.0"
"88627436E3";"5";"325.0"
"7060685595";"9";"325.04"
"6971116AE6";"5";"326.0"
"75730484E8";"5";"326.0"
"798292561B";"5";"328.0"
"8086788491";"5";"328.0"
"821843531C";"5";"328.0"
"85747950B0";"5";"328.0"
"8307307E97";"5";"329.0"
"7822960ECD";"6";"330.0"
"81798208FF";"5";"331.0"
"7010611B34";"12";"332.04"
"7027799333";"5";"332.96"
"7778883951";"5";"333.0"
"90855798F8";"5";"333.0"
"902335541B";"6";"333.0"
"7412617D0C";"6";"333.04"
"7710943775";"5";"334.0"
"7761055132";"7";"334.0"
"7357087C3E";"5";"335.0"
"74055938AA";"12";"335.0"
"8270465B9D";"5";"335.04"
"8487330E45";"7";"335.96"
"8029738D68";"5";"336.0"
"7774019B6A";"6";"336.0"
"864145416F";"5";"336.04"
"71537304BF";"5";"337.0"
"763720441D";"5";"337.0"
"84185230F4";"5";"337.0"
"884972501A";"5";"337.0"
"8850613CE3";"5";"337.0"
"8850632C91";"5";"337.0"
"9087386C26";"5";"337.0"
"7441412F6E";"6";"337.0"
"8850658209";"7";"337.0"
"7271099CB3";"5";"338.0"
"7271113842";"5";"338.0"
"86111891F7";"5";"338.0"
"7152976686";"15";"338.0"
"69578875FD";"5";"339.0"
"8301211805";"6";"339.0"
"7472975E0B";"5";"340.0"
"7787828EF5";"14";"340.0"
"8069174D06";"5";"340.96"
"89855240FB";"5";"340.96"
"810177001C";"8";"340.96"
"7147979ADD";"6";"341.0"
"8264224D60";"13";"341.0"
"6730208755";"5";"342.0"
"7984872CD0";"5";"342.0"
"7051333013";"13";"343.0"
"84811989FD";"5";"344.0"
"6986792327";"5";"345.0"
"8042162A05";"5";"345.0"
"8309433907";"5";"346.0"
"8848431441";"6";"346.0"
"72025357E7";"7";"346.0"
"73159733E8";"5";"348.0"
"7408444962";"6";"348.0"
"7408523A93";"6";"348.0"
"6927656295";"5";"349.0"
"70687683E3";"5";"349.0"
"7383243CDB";"5";"349.0"
"84210305CA";"5";"349.0"
"814966437C";"6";"349.0"
"7046833E8A";"5";"350.0"
"79848445B7";"5";"350.0"
"8767356B0A";"5";"351.0"
"7012089EE2";"10";"351.0"
"8164500689";"6";"352.0"
"73704721E8";"5";"353.0"
"7824123E8A";"5";"353.0"
"8910096BD0";"5";"353.0"
"88838565E3";"5";"354.0"
"88839302F5";"5";"354.0"
"888393356E";"5";"354.0"
"8883958A0E";"5";"354.0"
"888399696A";"5";"354.0"
"6820472F88";"6";"355.0"
"7342180E98";"6";"355.0"
"7957857756";"5";"356.0"
"8379396055";"5";"357.0"
"8116344AF1";"6";"357.0"
"76724409C6";"5";"358.0"
"756312582F";"5";"359.0"
"75631279D5";"5";"359.0"
"7578454215";"5";"359.0"
"73894184A3";"6";"360.0"
"6897192EE1";"7";"360.0"
"6763424A0A";"5";"361.0"
"676727974A";"5";"361.0"
"7823645418";"5";"361.0"
"8910843444";"5";"361.0"
"8167977BD7";"6";"362.0"
"73860812DC";"10";"362.04"
"73736597E5";"6";"363.0"
"7121400D2D";"11";"363.0"
"6849386422";"5";"364.0"
"7186801FC9";"5";"364.0"
"74115783A6";"5";"364.0"
"6605991C37";"5";"365.0"
"6607779FB7";"5";"365.0"
"7190001087";"5";"365.0"
"8132076169";"5";"365.0"
"8584759F39";"5";"365.0"
"8862656F15";"5";"365.0"
"9010569CC1";"6";"365.0"
"8656095391";"7";"365.0"
"81580950F8";"5";"366.0"
"6390797C82";"7";"366.0"
"67614225F1";"5";"367.0"
"6865074647";"5";"367.0"
"7330936FC0";"6";"367.0"
"7967460BFA";"8";"367.0"
"7127583B8D";"5";"368.0"
"8790361360";"5";"368.0"
"8907312265";"5";"368.0"
"89511545F4";"5";"368.0"
"7310794210";"6";"368.0"
"71830020C5";"5";"369.0"
"7838487C17";"5";"369.0"
"8772243BEB";"5";"369.0"
"77519420E9";"6";"369.0"
"67605874E1";"5";"370.0"
"71287048A2";"5";"370.0"
"7529179B0E";"5";"370.0"
"78773399C7";"5";"370.0"
"7976245D96";"5";"370.0"
"80178234D9";"5";"370.0"
"8472974755";"5";"370.0"
