"case_id";"case_id_length";"duration_dd"
"70617314C5";"5";"450.0"
"707492901C";"5";"450.0"
"7720538581";"5";"450.0"
"7039330EDE";"5";"451.0"
"793354479D";"11";"452.0"
"66731888F0";"5";"453.0"
"84745614F8";"8";"454.0"
"761515725B";"6";"454.04"
"815851076E";"6";"454.96"
"7867731104";"6";"455.0"
"67429770A7";"5";"456.0"
"7155834D03";"5";"456.0"
"7634000018";"7";"456.04"
"812225158F";"7";"457.0"
"67536865FE";"5";"458.0"
"755245208E";"5";"459.04"
"84355850F6";"5";"459.04"
"7734836C94";"5";"459.96"
"74091976C8";"16";"460.96"
"83137481E3";"5";"462.0"
"6793074DFD";"5";"462.04"
"7168013F70";"8";"462.04"
"692320597E";"5";"463.96"
"6573382E6A";"5";"464.96"
"74273299C7";"7";"464.96"
"68759082C8";"5";"465.0"
"744386795E";"5";"466.0"
"8883305F2D";"5";"467.04"
"740968055E";"6";"467.96"
"740968597D";"6";"467.96"
"8244834C3E";"5";"468.96"
"781740028F";"17";"468.96"
"7343323DD4";"5";"470.0"
"6358373762";"6";"470.96"
"867792958D";"10";"471.0"
"6632379C48";"5";"471.96"
"8005358667";"5";"472.04"
"6875883E23";"6";"473.0"
"7667099240";"9";"473.0"
"7603165A3C";"9";"473.04"
"7941406F88";"5";"474.0"
"6921900494";"5";"474.96"
"7951332EBA";"12";"476.04"
"687065430B";"5";"477.0"
"7472320189";"6";"478.0"
"742968847E";"5";"478.96"
"6893100E0E";"16";"480.96"
"8829165971";"7";"482.04"
"8829235337";"7";"482.04"
"8539506F44";"5";"482.96"
"6503070720";"7";"482.96"
"8779241ADA";"5";"483.0"
"7560024928";"7";"483.04"
"7831119BD3";"5";"483.96"
"89269418C0";"5";"484.04"
"70004813AC";"5";"484.96"
"650148397D";"5";"486.96"
"7576780CA4";"6";"488.04"
"780817128C";"5";"488.96"
"6847923CD1";"5";"489.04"
"67891339C7";"9";"491.04"
"66246745EC";"5";"493.96"
"80043896C2";"17";"494.04"
"6680202514";"7";"495.0"
"7559156CDB";"5";"495.04"
"72079826E9";"6";"495.04"
"7556774F2A";"5";"496.04"
"8006806156";"5";"496.04"
"7750143453";"13";"496.96"
"81025671D0";"6";"497.0"
"67477313C6";"6";"499.04"
"698116606F";"5";"499.96"
"6981184F45";"7";"499.96"
"6977254425";"5";"501.96"
"697721217D";"7";"501.96"
"8516172773";"7";"502.96"
"6752572EAE";"7";"503.04"
"747228871F";"6";"505.0"
"6845439AF5";"5";"506.96"
"8133756BC7";"5";"506.96"
"69708130DE";"5";"507.96"
"6970826B95";"5";"507.96"
"8156421B87";"6";"509.96"
"7497150BE3";"5";"510.0"
"7939620DAE";"7";"510.04"
"8123345C59";"6";"510.96"
"78890065B2";"6";"511.0"
"761318355B";"6";"511.04"
"6965905EA4";"5";"512.96"
"6965914614";"5";"512.96"
"7595843FEC";"6";"513.04"
