"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd"
"6544129217";"CREATION";"2016-01-18 00:00:00.000";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"0"
"6544129217";"AWARD";"2016-04-19 00:00:00.000";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"92"
"6544129217";"CONTRACT-START";"2016-09-08 00:00:00.000";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"234"
"6544129217";"VARIANT";"2017-01-25 00:00:00.000";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"373"
"6544129217";"CONTRACT-END";"2017-07-20 00:00:00.000";"CAMPANIA";"200000.0";"FORNITURE";"ORDINARI";"0";"34";"548.96";"549"
"654595334D";"CREATION";"2016-04-13 00:00:00.000";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"0"
"654595334D";"AWARD";"2016-06-07 00:00:00.000";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"55"
"654595334D";"VARIANT";"2016-06-22 00:00:00.000";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"70"
"654595334D";"CONTRACT-START";"2016-07-04 00:00:00.000";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"82"
"654595334D";"CONTRACT-END";"2017-02-01 00:00:00.000";"SARDEGNA";"40983.6";"FORNITURE";"ORDINARI";"0";"39";"294.04";"294"
"654613055D";"CREATION";"2016-01-14 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"0"
"654613055D";"AWARD";"2016-05-05 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"112"
"654613055D";"CONTRACT-START";"2016-09-29 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"259"
"654613055D";"SUBCONTRACT";"2016-09-29 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"259"
"654613055D";"STATUS";"2016-12-20 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"341"
"654613055D";"VARIANT";"2017-03-01 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"412"
"654613055D";"CONTRACT-END";"2017-03-18 00:00:00.000";"CENTRALE";"1100000.0";"FORNITURE";"ORDINARI";"0";"38";"429.0";"429"
"6550408FAB";"CREATION";"2016-01-26 00:00:00.000";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0"
"6550408FAB";"AWARD";"2016-01-26 00:00:00.000";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0"
"6550408FAB";"CONTRACT-START";"2016-03-21 00:00:00.000";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"55"
"6550408FAB";"VARIANT";"2017-02-01 00:00:00.000";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"372"
"6550408FAB";"CONTRACT-END";"2017-12-31 00:00:00.000";"EMILIA ROMAGNA";"140000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"705"
"6550416648";"CREATION";"2016-01-26 00:00:00.000";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0"
"6550416648";"AWARD";"2016-01-26 00:00:00.000";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"0"
"6550416648";"CONTRACT-START";"2016-03-21 00:00:00.000";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"55"
"6550416648";"VARIANT";"2017-02-01 00:00:00.000";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"372"
"6550416648";"CONTRACT-END";"2017-12-31 00:00:00.000";"EMILIA ROMAGNA";"136000.0";"FORNITURE";"ORDINARI";"1";"33";"705.0";"705"
"6554284E3F";"CREATION";"2016-01-14 00:00:00.000";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"0"
"6554284E3F";"AWARD";"2016-01-14 00:00:00.000";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"0"
"6554284E3F";"CONTRACT-START";"2016-01-21 00:00:00.000";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"7"
"6554284E3F";"CONTRACT-END";"2017-11-30 00:00:00.000";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"686"
"6554284E3F";"VARIANT";"2018-03-02 00:00:00.000";"EMILIA ROMAGNA";"300000.0";"FORNITURE";"ORDINARI";"1";"33";"778.0";"778"
"65607641BA";"CREATION";"2016-08-29 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"0"
"65607641BA";"AWARD";"2016-11-11 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"74"
"65607641BA";"CONTRACT-START";"2017-01-17 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"141"
"65607641BA";"STATUS";"2017-05-11 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"255"
"65607641BA";"STATUS";"2017-08-23 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"359"
"65607641BA";"STATUS";"2017-11-30 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"458"
"65607641BA";"STATUS";"2018-02-06 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"526"
"65607641BA";"STATUS";"2018-04-30 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"609"
"65607641BA";"STATUS";"2018-07-31 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"701"
"65607641BA";"VARIANT";"2018-11-18 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"811"
"65607641BA";"STATUS";"2018-11-29 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"822"
"65607641BA";"CONTRACT-END";"2019-01-22 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"876"
"65607641BA";"STATUS";"2019-02-14 00:00:00.000";"MOLISE";"856400.0";"FORNITURE";"ORDINARI";"0";"24";"899.04";"899"
"6561106BF1";"CREATION";"2016-02-09 00:00:00.000";"PROVINCIA AUTONOMA DI BOLZANO";"200000.0";"FORNITURE";"ORDINARI";"1";"65";"445.96";"0"
