Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type
6544660847,VARIANT,VALLE D AOSTA,2016-12-23 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2016-12-31 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,VARIANT,VALLE D AOSTA,2017-02-03 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2017-02-28 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,VARIANT,VALLE D AOSTA,2017-04-26 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2017-04-30 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,CONTRACT-END,VALLE D AOSTA,2017-06-30 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2017-06-30 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,VARIANT,VALLE D AOSTA,2017-08-10 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6550823626,CREATION,PA BOLZANO,2016-01-15 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6550823626,AWARD,PA BOLZANO,2016-05-03 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6550823626,CONTRACT-START,PA BOLZANO,2016-08-01 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6550823626,SUBCONTRACT,PA BOLZANO,2016-10-24 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6550823626,VARIANT,PA BOLZANO,2019-06-14 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6550823626,CONTRACT-END,PA BOLZANO,2019-10-31 00:00:00.000,Variant 5,5,416930.0,SERVIZI
6551716713,CREATION,SICILIA,2016-03-18 00:00:00.000,Variant 1,1,80000.0,SERVIZI
6551716713,AWARD,SICILIA,2016-03-25 00:00:00.000,Variant 1,1,80000.0,SERVIZI
6551716713,CONTRACT-START,SICILIA,2016-03-25 00:00:00.000,Variant 1,1,80000.0,SERVIZI
6551716713,VARIANT,SICILIA,2016-06-03 00:00:00.000,Variant 1,1,80000.0,SERVIZI
6551716713,CONTRACT-END,SICILIA,2016-07-21 00:00:00.000,Variant 1,1,80000.0,SERVIZI
655324767F,CREATION,TOSCANA,2016-02-05 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,AWARD,TOSCANA,2016-05-27 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,CONTRACT-START,TOSCANA,2016-10-26 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,VARIANT,TOSCANA,2016-12-30 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,VARIANT,TOSCANA,2017-06-30 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,VARIANT,TOSCANA,2017-09-29 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,VARIANT,TOSCANA,2018-06-29 00:00:00.000,Variant 6,6,201813.0,SERVIZI
655324767F,CONTRACT-END,TOSCANA,2018-08-31 00:00:00.000,Variant 6,6,201813.0,SERVIZI
65549514AF,CREATION,UMBRIA,2016-01-22 00:00:00.000,Variant 2,2,195000.0,SERVIZI
65549514AF,AWARD,UMBRIA,2016-04-13 00:00:00.000,Variant 2,2,195000.0,SERVIZI
65549514AF,CONTRACT-START,UMBRIA,2016-04-14 00:00:00.000,Variant 2,2,195000.0,SERVIZI
65549514AF,VARIANT,UMBRIA,2018-05-04 00:00:00.000,Variant 2,2,195000.0,SERVIZI
65549514AF,VARIANT,UMBRIA,2019-05-17 00:00:00.000,Variant 2,2,195000.0,SERVIZI
65549514AF,CONTRACT-END,UMBRIA,2019-06-30 00:00:00.000,Variant 2,2,195000.0,SERVIZI
6555355214,CREATION,CENTRALE,2016-01-15 00:00:00.000,Variant 1,1,48000.0,SERVIZI
6555355214,AWARD,CENTRALE,2016-02-11 00:00:00.000,Variant 1,1,48000.0,SERVIZI
6555355214,CONTRACT-START,CENTRALE,2016-02-12 00:00:00.000,Variant 1,1,48000.0,SERVIZI
6555355214,VARIANT,CENTRALE,2018-11-05 00:00:00.000,Variant 1,1,48000.0,SERVIZI
6555355214,CONTRACT-END,CENTRALE,2019-02-14 00:00:00.000,Variant 1,1,48000.0,SERVIZI
6559077192,CREATION,CENTRALE,2016-02-05 00:00:00.000,Variant 1,1,420000.0,SERVIZI
6559077192,AWARD,CENTRALE,2016-04-28 00:00:00.000,Variant 1,1,420000.0,SERVIZI
6559077192,CONTRACT-START,CENTRALE,2016-07-15 00:00:00.000,Variant 1,1,420000.0,SERVIZI
6559077192,VARIANT,CENTRALE,2020-01-13 00:00:00.000,Variant 1,1,420000.0,SERVIZI
6559077192,CONTRACT-END,CENTRALE,2020-08-14 00:00:00.000,Variant 1,1,420000.0,SERVIZI
65598439AF,CREATION,CENTRALE,2016-01-26 00:00:00.000,Variant 1,1,98986.05,SERVIZI
65598439AF,AWARD,CENTRALE,2016-02-16 00:00:00.000,Variant 1,1,98986.05,SERVIZI
65598439AF,CONTRACT-START,CENTRALE,2016-04-12 00:00:00.000,Variant 1,1,98986.05,SERVIZI
65598439AF,VARIANT,CENTRALE,2019-04-02 00:00:00.000,Variant 1,1,98986.05,SERVIZI
65598439AF,CONTRACT-END,CENTRALE,2019-05-31 00:00:00.000,Variant 1,1,98986.05,SERVIZI
65636596C0,CREATION,CENTRALE,2016-02-24 00:00:00.000,Variant 1,1,187390.0,SERVIZI
65636596C0,AWARD,CENTRALE,2016-05-11 00:00:00.000,Variant 1,1,187390.0,SERVIZI
65636596C0,CONTRACT-START,CENTRALE,2016-05-31 00:00:00.000,Variant 1,1,187390.0,SERVIZI
65636596C0,VARIANT,CENTRALE,2019-09-17 00:00:00.000,Variant 1,1,187390.0,SERVIZI
65636596C0,CONTRACT-END,CENTRALE,2019-11-30 00:00:00.000,Variant 1,1,187390.0,SERVIZI
6564830D15,CREATION,PIEMONTE,2016-02-01 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6564830D15,PUBLICATION-IT,PIEMONTE,2016-02-01 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6564830D15,AWARD,PIEMONTE,2016-02-19 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6564830D15,CONTRACT-START,PIEMONTE,2016-05-01 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6564830D15,VARIANT,PIEMONTE,2017-05-04 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6564830D15,CONTRACT-END,PIEMONTE,2017-05-31 00:00:00.000,Variant 12,12,181300.0,SERVIZI
6566107AE6,CREATION,CENTRALE,2016-02-02 00:00:00.000,Variant 2,2,206810.0,SERVIZI
6566107AE6,AWARD,CENTRALE,2016-05-03 00:00:00.000,Variant 2,2,206810.0,SERVIZI
6566107AE6,CONTRACT-START,CENTRALE,2016-06-21 00:00:00.000,Variant 2,2,206810.0,SERVIZI
6566107AE6,VARIANT,CENTRALE,2016-08-04 00:00:00.000,Variant 2,2,206810.0,SERVIZI
6566107AE6,VARIANT,CENTRALE,2018-05-22 00:00:00.000,Variant 2,2,206810.0,SERVIZI
6566107AE6,CONTRACT-END,CENTRALE,2019-06-30 00:00:00.000,Variant 2,2,206810.0,SERVIZI
65671832DA,CREATION,PA BOLZANO,2016-02-03 00:00:00.000,Variant 1,1,187500.0,SERVIZI
65671832DA,AWARD,PA BOLZANO,2016-03-03 00:00:00.000,Variant 1,1,187500.0,SERVIZI
65671832DA,CONTRACT-START,PA BOLZANO,2016-03-21 00:00:00.000,Variant 1,1,187500.0,SERVIZI
65671832DA,VARIANT,PA BOLZANO,2018-12-31 00:00:00.000,Variant 1,1,187500.0,SERVIZI
65671832DA,CONTRACT-END,PA BOLZANO,2019-12-31 00:00:00.000,Variant 1,1,187500.0,SERVIZI
6568079640,CREATION,PA TRENTO,2016-02-03 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,AWARD,PA TRENTO,2016-02-29 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,CONTRACT-START,PA TRENTO,2016-02-29 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,STATUS,PA TRENTO,2016-12-31 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,VARIANT,PA TRENTO,2017-12-28 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,STATUS,PA TRENTO,2017-12-31 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,CONTRACT-END,PA TRENTO,2018-06-30 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568079640,STATUS,PA TRENTO,2018-06-30 00:00:00.000,Variant 17,17,126352.0,SERVIZI
6568207FDE,CREATION,EMILIA ROMAGNA,2016-03-01 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568207FDE,AWARD,EMILIA ROMAGNA,2016-06-07 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568207FDE,CONTRACT-START,EMILIA ROMAGNA,2016-09-01 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568207FDE,STATUS,EMILIA ROMAGNA,2016-12-21 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568207FDE,VARIANT,EMILIA ROMAGNA,2017-10-18 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568207FDE,CONTRACT-END,EMILIA ROMAGNA,2018-07-24 00:00:00.000,Variant 14,14,66900.0,SERVIZI
6568745BD8,CREATION,CENTRALE,2016-01-28 00:00:00.000,Variant 1,1,110700.0,SERVIZI
6568745BD8,AWARD,CENTRALE,2016-01-30 00:00:00.000,Variant 1,1,110700.0,SERVIZI
6568745BD8,CONTRACT-START,CENTRALE,2016-01-30 00:00:00.000,Variant 1,1,110700.0,SERVIZI
6568745BD8,VARIANT,CENTRALE,2017-07-03 00:00:00.000,Variant 1,1,110700.0,SERVIZI
6568745BD8,CONTRACT-END,CENTRALE,2018-01-31 00:00:00.000,Variant 1,1,110700.0,SERVIZI
65705247ED,CREATION,CENTRALE,2016-02-02 00:00:00.000,Variant 1,1,197054.0,SERVIZI
65705247ED,AWARD,CENTRALE,2016-03-07 00:00:00.000,Variant 1,1,197054.0,SERVIZI
65705247ED,CONTRACT-START,CENTRALE,2016-04-26 00:00:00.000,Variant 1,1,197054.0,SERVIZI
65705247ED,VARIANT,CENTRALE,2017-01-04 00:00:00.000,Variant 1,1,197054.0,SERVIZI
65705247ED,CONTRACT-END,CENTRALE,2017-02-17 00:00:00.000,Variant 1,1,197054.0,SERVIZI
6571406FC4,CREATION,CENTRALE,2016-02-01 00:00:00.000,Variant 1,1,100000.0,SERVIZI
6571406FC4,AWARD,CENTRALE,2016-05-10 00:00:00.000,Variant 1,1,100000.0,SERVIZI
6571406FC4,CONTRACT-START,CENTRALE,2016-08-04 00:00:00.000,Variant 1,1,100000.0,SERVIZI
6571406FC4,VARIANT,CENTRALE,2017-03-30 00:00:00.000,Variant 1,1,100000.0,SERVIZI
