"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"7566930C2A";"CREATION";"2018-07-12 00:00:00+00:00";"LOMBARDIA";"79800.0";"FORNITURE";"ORDINARI";"0";"42";"146.04";"0";"CREATION";"2018-07-12 00:00:00+00:00";"6147";"935";"7566930C2A"
"7567918B7D";"CREATION";"2018-05-16 00:00:00+00:00";"VENETO";"186880.0";"FORNITURE";"ORDINARI";"1";"30";"45.0";"0";"CREATION";"2018-05-16 00:00:00+00:00";"6154";"936";"7567918B7D"
"756981374C";"CREATION";"2018-07-20 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"137952.6";"FORNITURE";"ORDINARI";"0";"22";"345.0";"0";"CREATION";"2018-07-20 00:00:00+00:00";"6159";"937";"756981374C"
"7570959901";"CREATION";"2018-07-16 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"159600.0";"FORNITURE";"ORDINARI";"0";"33";"577.04";"0";"CREATION";"2018-07-16 00:00:00+00:00";"6164";"938";"7570959901"
"7570965DF3";"CREATION";"2018-07-16 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"88200.0";"FORNITURE";"ORDINARI";"0";"33";"576.04";"0";"CREATION";"2018-07-16 00:00:00+00:00";"6169";"939";"7570965DF3"
"7571374F77";"CREATION";"2018-07-16 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"50000.0";"FORNITURE";"ORDINARI";"0";"33";"1066.0";"0";"CREATION";"2018-07-16 00:00:00+00:00";"6174";"940";"7571374F77"
"7575290F0D";"CREATION";"2018-07-20 00:00:00+00:00";"CENTRALE";"145000.0";"FORNITURE";"ORDINARI";"0";"79";"205.04";"0";"CREATION";"2018-07-20 00:00:00+00:00";"6179";"941";"7575290F0D"
"757529425E";"CREATION";"2018-07-19 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"45000.0";"FORNITURE";"ORDINARI";"0";"22";"112.04";"0";"CREATION";"2018-07-19 00:00:00+00:00";"6184";"942";"757529425E"
"7576440413";"CREATION";"2018-07-24 00:00:00+00:00";"CENTRALE";"912199.12";"FORNITURE";"ORDINARI";"0";"18";"335.0";"0";"CREATION";"2018-07-24 00:00:00+00:00";"6190";"943";"7576440413"
"7576780CA4";"CREATION";"2018-07-20 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"166847.7";"FORNITURE";"ORDINARI";"0";"31";"488.04";"0";"CREATION";"2018-07-20 00:00:00+00:00";"6197";"944";"7576780CA4"
"7577382D6D";"CREATION";"2018-07-24 00:00:00+00:00";"CENTRALE";"1569787.8";"FORNITURE";"ORDINARI";"0";"30";"1621.04";"0";"CREATION";"2018-07-24 00:00:00+00:00";"6203";"945";"7577382D6D"
"7577393683";"CREATION";"2018-07-24 00:00:00+00:00";"CENTRALE";"1276369.8";"FORNITURE";"ORDINARI";"0";"30";"1621.04";"0";"CREATION";"2018-07-24 00:00:00+00:00";"6215";"946";"7577393683"
"7577402DEE";"CREATION";"2018-07-24 00:00:00+00:00";"CENTRALE";"1255281.0";"FORNITURE";"ORDINARI";"0";"30";"1621.04";"0";"CREATION";"2018-07-24 00:00:00+00:00";"6227";"947";"7577402DEE"
"757741155E";"CREATION";"2018-07-24 00:00:00+00:00";"CENTRALE";"1252581.0";"FORNITURE";"ORDINARI";"0";"30";"1621.04";"0";"CREATION";"2018-07-24 00:00:00+00:00";"6239";"948";"757741155E"
"7580674A13";"CREATION";"2018-08-06 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"220786.0";"FORNITURE";"ORDINARI";"0";"44";"399.0";"0";"CREATION";"2018-08-06 00:00:00+00:00";"6251";"949";"7580674A13"
"758189058E";"CREATION";"2018-07-25 00:00:00+00:00";"PIEMONTE";"75000.0";"FORNITURE";"ORDINARI";"0";"42";"798.0";"0";"CREATION";"2018-07-25 00:00:00+00:00";"6256";"950";"758189058E"
"75824145F9";"CREATION";"2018-07-26 00:00:00+00:00";"CENTRALE";"193050.0";"FORNITURE";"ORDINARI";"0";"18";"231.04";"0";"CREATION";"2018-07-26 00:00:00+00:00";"6261";"951";"75824145F9"
"7582982AB2";"CREATION";"2018-07-27 00:00:00+00:00";"VENETO";"819672.0";"FORNITURE";"ORDINARI";"0";"33";"713.0";"0";"CREATION";"2018-07-27 00:00:00+00:00";"6266";"952";"7582982AB2"
"75830101D0";"CREATION";"2018-09-03 00:00:00+00:00";"CENTRALE";"185000.0";"FORNITURE";"ORDINARI";"0";"44";"388.0";"0";"CREATION";"2018-09-03 00:00:00+00:00";"6272";"953";"75830101D0"
"75849491ED";"CREATION";"2018-07-27 00:00:00+00:00";"CENTRALE";"117120.94";"FORNITURE";"ORDINARI";"0";"35";"248.0";"0";"CREATION";"2018-07-27 00:00:00+00:00";"6277";"954";"75849491ED"
